time,InInt,InReal,OutInt,OutReal,time
0,0,0,0,0,0
0.2,1,1.5,0,1.2,0.2
0.4,3,3.5,1,3.76,0.4
0.6000000000000001,5,5.5,3,7.408,0.6000000000000001
0.8,7,7.5,5,11.9264,0.8
1,9,9.5,7,17.14112,1
1.2,11,11.5,9,22.912896,1.2
1.4,13,13.5,11,29.1303168,1.4
1.6,15,15.5,13,35.70425344,1.6
1.8,17,17.5,15,42.563402752,1.8
2,19,19.5,17,49.6507222016,2
2.2,21,21.5,19,56.92057776128001,2.2
2.4,23,23.5,21,64.33646220902402,2.4
2.6,25,25.5,23,71.86916976721922,2.6
2.8,27,27.5,25,79.49533581377538,2.8
3,29,29.5,27,87.19626865102032,3
3.200000000000001,31,31.5,29,94.95701492081626,3.200000000000001
3.400000000000001,33,33.5,31,102.765611936653,3.400000000000001
3.600000000000001,35,35.5,33,110.6124895493224,3.600000000000001
3.800000000000001,33,33.5,33,115.289991639458,3.800000000000001
4.000000000000001,31,31.5,32,117.4319933115664,4.000000000000001
4.200000000000001,29,29.5,30,117.5455946492531,4.200000000000001
4.400000000000001,27,27.5,28,116.0364757194025,4.400000000000001
4.600000000000001,25,25.5,26,113.229180575522,4.600000000000001
4.800000000000002,23,23.5,24,109.3833444604176,4.800000000000002
5.000000000000002,21,21.5,22,104.7066755683341,5.000000000000002
5.200000000000002,19,19.5,20,99.36534045466726,5.200000000000002
5.400000000000002,17,17.5,18,93.49227236373382,5.400000000000002
5.600000000000002,15,15.5,16,87.19381789098706,5.600000000000002
5.800000000000002,13,13.5,14,80.55505431278965,5.800000000000002
6.000000000000003,11,11.5,12,73.64404345023172,6.000000000000003
6.200000000000003,9,9.5,10,66.51523476018538,6.200000000000003
6.400000000000003,7,7.5,8,59.21218780814831,6.400000000000003
6.600000000000003,5,5.5,6,51.76975024651865,6.600000000000003
6.800000000000003,3,3.5,4,44.21580019721493,6.800000000000003
7.000000000000004,1,1.5,2,36.57264015777194,7.000000000000004
7.200000000000004,0,0,1,29.25811212621755,7.200000000000004
7.400000000000004,0,0,0,23.40648970097405,7.400000000000004
7.600000000000004,0,0,0,18.72519176077924,7.600000000000004
7.800000000000004,0,0,0,14.98015340862339,7.800000000000004
8.000000000000004,0,0,0,11.98412272689871,8.000000000000004
8.200000000000003,0,0,0,9.587298181518969,8.200000000000003
8.400000000000002,0,0,0,7.669838545215176,8.400000000000002
8.600000000000001,0,0,0,6.135870836172141,8.600000000000001
8.800000000000001,0,0,0,4.908696668937713,8.800000000000001
9,0,0,0,3.926957335150171,9
9.199999999999999,0,0,0,3.141565868120137,9.199999999999999
9.399999999999999,0,0,0,2.51325269449611,9.399999999999999
9.599999999999998,0,0,0,2.010602155596888,9.599999999999998
9.799999999999997,0,0,0,1.60848172447751,9.799999999999997
9.999999999999996,0,0,0,1.286785379582008,9.999999999999996
10.2,0,0,0,1.029428303665607,10.2
10.4,0,0,0,0.8235426429324854,10.4
10.59999999999999,0,0,0,0.6588341143459884,10.59999999999999
10.79999999999999,0,0,0,0.5270672914767908,10.79999999999999
10.99999999999999,0,0,0,0.4216538331814326,10.99999999999999
11.19999999999999,0,0,0,0.3373230665451461,11.19999999999999
11.39999999999999,0,0,0,0.2698584532361169,11.39999999999999
