time,InInt,InReal,OutInt,OutReal,time
0,0,0,0,0,0
0.2,0,0,0,0,0.2
0.4,0,1.2,0,0.1823215567939548,0.4
0.6000000000000001,1,3.76,1,1.324418957401803,0.6000000000000001
0.8,3,7.408,9,2.002560497343878,0.8
1,5,11.9264,25,2.478754430302802,1
1.2,7,17.14112,49,2.84148025525883,1.2
1.4,11,29.1303168,121,3.371779446298407,1.4
1.6,11,29.1303168,121,3.371779446298407,1.6
1.8,13,35.70425344,169,3.575269825666104,1.8
2,15,42.563402752,225,3.750994793717107,2
2.2,17,49.6507222016,289,3.905012936238363,2.2
2.4,19,56.92057776128001,361,4.041656923579132,2.4
2.6,21,64.33646220902402,441,4.164126534427544,2.6
2.8,25,79.49533581377538,625,4.375698350930078,2.8
3,25,79.49533581377538,625,4.375698350930078,3
3.200000000000001,27,87.19626865102032,729,4.468161539300078,3.200000000000001
3.400000000000001,29,94.95701492081626,841,4.553424314685333,3.400000000000001
3.600000000000001,31,102.765611936653,961,4.632450782823805,3.600000000000001
3.800000000000001,33,110.6124895493224,1089,4.706033008113387,3.800000000000001
4.000000000000001,33,115.289991639458,1089,4.747450620727364,4.000000000000001
4.200000000000001,32,117.4319933115664,1024,4.765859385699129,4.200000000000001
4.400000000000001,30,117.5455946492531,900,4.766826297884442,4.400000000000001
4.600000000000001,28,116.0364757194025,784,4.753904587535546,4.600000000000001
4.800000000000002,26,113.229180575522,676,4.729413911485508,4.800000000000002
5.000000000000002,24,109.3833444604176,576,4.694858633977208,5.000000000000002
5.200000000000002,22,104.7066755683341,484,4.651162874853848,5.200000000000002
5.400000000000002,18,93.49227236373382,324,4.537878784362849,5.400000000000002
5.600000000000002,18,93.49227236373382,324,4.537878784362849,5.600000000000002
5.800000000000002,16,87.19381789098706,256,4.468133432656151,5.800000000000002
6.000000000000003,14,80.55505431278965,196,4.388940855175106,6.000000000000003
6.200000000000003,12,73.64404345023172,144,4.299243263198476,6.200000000000003
6.400000000000003,10,66.51523476018538,100,4.19743101556188,6.400000000000003
6.600000000000003,8,59.21218780814831,64,4.081127395838222,6.600000000000003
6.800000000000003,6,51.76975024651865,36,3.946806006612404,6.800000000000003
7.000000000000004,4,44.21580019721493,16,3.789082195731511,7.000000000000004
7.200000000000004,2,36.57264015777194,4,3.599300424189562,7.200000000000004
7.400000000000004,1,29.25811212621755,1,3.376156872875352,7.400000000000004
7.600000000000004,0,23.40648970097405,0,3.153013321561143,7.600000000000004
7.800000000000004,0,18.72519176077924,0,2.929869770246933,7.800000000000004
8.000000000000004,0,14.98015340862339,0,2.706726218932723,8.000000000000004
8.200000000000003,0,11.98412272689871,0,2.483582667618514,8.200000000000003
8.400000000000002,0,9.587298181518969,0,2.260439116304304,8.400000000000002
8.600000000000001,0,7.669838545215176,0,2.037295564990094,8.600000000000001
8.800000000000001,0,6.135870836172141,0,1.814152013675884,8.800000000000001
9,0,4.908696668937713,0,1.591008462361675,9
9.199999999999999,0,3.926957335150171,0,1.367864911047465,9.199999999999999
9.399999999999999,0,2.51325269449611,0,0.9215778084190455,9.399999999999999
9.599999999999998,0,2.010602155596888,0,0.6984342571048359,9.599999999999998
9.799999999999997,0,2.010602155596888,0,0.6984342571048359,9.799999999999997
9.999999999999996,0,1.60848172447751,0,0.4752907057906261,9.999999999999996
10.2,0,1.286785379582008,0,0.2521471544764164,10.2
10.4,0,1.029428303665607,0,0.02900360316220668,10.4
10.59999999999999,0,0.8235426429324854,0,-0.1941399481520031,10.59999999999999
10.79999999999999,0,0.6588341143459884,0,-0.4172834994662127,10.79999999999999
10.99999999999999,0,0.5270672914767908,0,-0.6404270507804223,10.99999999999999
11.19999999999999,0,0.4216538331814326,0,-0.863570602094632,11.19999999999999
11.39999999999999,0,0.3373230665451461,0,-1.086714153408842,11.39999999999999
